SDP,LogDet
24945.0724800409,27970.6863627313
28573.9738857905,28853.5903500941
27258.290443982,26342.8162173717
29272.9923468275,27751.4817460231
26918.8143592697,27365.424877382
26812.528506212,27535.8432681176
28608.0949191,27597.9233463971
28568.6394924168,28950.6712891006
26991.9289874719,27342.0251563562
28286.2821831494,29568.6483595225
26744.4825350171,27466.605532612
25868.6571350051,27661.0600789655
27432.8502759056,27304.1770719079
27505.0205627319,27230.4016063094
26493.9058235056,29210.2582872843
28892.648256603,28201.9624990603
24706.4649464258,27242.172307936
29030.2254857529,27645.3501864598
29499.2250785561,27599.5633171075
28066.7156403441,27161.8757013998
28427.6068585116,27188.4113043642
27116.5712865339,27766.0855458494
27201.2251424415,29761.858382919
26169.0631707586,28844.0073732327
27774.9368467831,28065.3484531254
28227.0382839651,26724.5144296681
27992.8808275241,27140.6023801891
28957.9063076466,27191.7045835477
26150.002082634,25936.1164875905
27614.1414789397,27004.23279657
27562.4478525779,27807.5612080723
29729.9594742144,27622.8145809565
25306.7768925206,27071.8091363636
26402.6623683691,28331.9974262174
27466.605532612,29622.4192261983
26971.9818649654,26509.8338861289
28090.7843678856,26756.5776578879
29288.0559507475,27766.0855458494
27491.7139064132,27773.3255309532
26878.8022664326,29061.2018306408
27121.6011287109,27679.183772356
28257.6055028888,27049.851080533
27650.8019689473,28910.826135729
27393.306422441,26468.2684058381
28637.5777125202,29339.4216853365
28302.8266948221,27242.5293114517
27765.9976346758,27823.2113352164
27613.9721459223,27588.5301807889
26864.1482846046,27910.4857251447
27076.6280957916,27726.246183379
26917.9547888181,27310.440219423
27873.6924569598,27995.122527495
25242.7927164346,26384.8828308249
25320.7174977495,27000.3387895255
29533.3389341304,25814.2496912157
26879.8113932523,29660.0506274993
28073.8289100907,29322.724435684
27398.800186071,26927.3141068798
28605.2246450829,28207.619652618
28033.0787872471,26949.9973564791
27723.9663405777,27715.4337004601
27798.3272586512,26747.8826455038
27004.970968542,27432.8559698189
26498.1613754826,26624.8342091687
27888.1287489597,28058.0923699011
26810.6785293717,27185.8605056606
29181.0258796308,28443.0644093321
27621.1467830628,26821.1230827211
29393.0553322827,26887.7050840743
28384.5372881347,26927.0087555639
27796.364797774,27351.4396546032
